name_muni,producao_t,latitude,longitude,temperatura,precipitacao,umidade,vento
Portel,55000.0,-2.600000000000002,-50.99999999999989,30.838665000000002,2.9541971275,63.155324750000005,1.734949525
Porto de Moz,2160.0,-2.200000000000001,-52.49999999999992,30.363518499999998,3.18736617,66.23445875,1.796718225
Prainha,420.0,-2.1000000000000014,-53.69999999999993,30.734532,2.5320008575,64.05181875,2.246338
Quatipuru,2000.0,-0.9000000000000006,-46.99999999999984,29.571752,3.8794417799999996,70.0106025,3.961872125
Rondon do Pará,186.0,-4.500000000000001,-48.49999999999986,31.132335750000003,1.7387280612499998,55.170297250000004,1.8778375
Salvaterra,120.0,-0.8000000000000006,-48.59999999999986,29.89504625,4.1397890425,69.057475,3.0299825250000003
Santa Bárbara do Pará,940.0,-1.2000000000000008,-48.299999999999855,30.47477,3.1013577175,65.2023485,2.537645975
Santa Izabel do Pará,84000.0,-1.400000000000001,-48.09999999999985,31.12195375,2.4956864207500002,61.85518725,2.3442302
Santa Maria das Barreiras,10.0,-8.599999999999987,-50.29999999999988,31.55551325,1.8313995239,53.3165325,1.9162381499999999
Santa Maria do Pará,1127.0,-1.400000000000001,-47.49999999999984,30.978641,2.130196036,61.6512645,2.50075625
Santarém,224.0,-2.700000000000002,-55.19999999999995,29.6160465,4.794052975,69.60220825,3.3083321
Santo Antônio do Tauá,4457.0,-1.1000000000000008,-48.199999999999854,30.31564075,3.0667882874999997,65.640889,2.7556040250000002
São Caetano de Odivelas,1600.0,-0.9000000000000006,-47.99999999999985,30.206132250000003,2.92506701,66.48438949999999,2.986565375
São Domingos do Araguaia,800.0,-5.699999999999997,-48.69999999999986,30.89763075,2.41238182825,58.195482,2.078529825
São Domingos do Capim,15000.0,-1.9000000000000012,-47.79999999999985,31.327301,2.5511355714999997,60.04210975,1.9857714
São Francisco do Pará,1750.0,-1.2000000000000008,-47.69999999999985,30.871516500000002,2.22327122125,62.5442125,2.576233425
São Geraldo do Araguaia,1300.0,-6.199999999999995,-48.69999999999986,30.794642,2.3311599574999997,57.402145,2.065342925
São João da Ponta,660.0,-0.9000000000000006,-47.99999999999985,30.206132250000003,2.92506701,66.48438949999999,2.986565375
São João de Pirabas,210.0,-0.8000000000000006,-47.19999999999984,29.31946875,4.0937440975,71.33323225000001,3.7306772500000003
São João do Araguaia,2160.0,-5.399999999999998,-48.69999999999986,30.720003,2.227523401,60.320747999999995,2.2387133
São Miguel do Guamá,4560.0,-1.6000000000000012,-47.599999999999845,31.17758675,2.14211970675,60.8905575,2.438767
São Sebastião da Boa Vista,15775.0,-1.400000000000001,-49.69999999999988,31.21864925,2.5783275684999998,62.2824235,1.928017225
Tailândia,3000.0,-2.900000000000002,-48.69999999999986,31.568774,2.1049146875,57.550126750000004,1.7673847
Terra Alta,938.0,-1.0000000000000009,-47.79999999999985,30.931645250000003,2.464519048,63.273503500000004,2.538921475
Tomé-Açu,10419.0,-2.600000000000002,-48.299999999999855,31.416340249999998,2.26085766,58.83728625,1.88754945
Tracuateua,900.0,-1.0000000000000009,-46.89999999999984,29.971182,3.4047969675,68.031245,3.325203625
Trairão,691.0,-5.099999999999999,-55.999999999999964,30.91683725,3.4455357925000003,61.185101,1.418327375
Tucumã,221.0,-6.799999999999993,-51.3999999999999,30.6190145,1.7186001355,57.816522,1.968431075
Tucuruí,432.0,-3.900000000000003,-49.79999999999988,30.3514765,3.1142302125,64.19855849999999,2.089730475
Ulianópolis,448.0,-3.800000000000003,-47.49999999999984,31.33232125,1.671056935,55.79991199999999,2.43087365
Uruará,816.0,-3.6000000000000028,-53.79999999999993,29.781294749999997,2.256955605,62.3890035,1.929898525
Vigia,357.0,-0.9000000000000006,-48.09999999999985,30.032677,3.0434615625,67.35945375,3.13613235
Viseu,6800.0,-1.500000000000001,-46.49999999999983,30.84595,2.2751455925000004,63.303557999999995,2.660304425
Vitória do Xingu,90.0,-3.1000000000000023,-51.99999999999991,30.1215525,3.2437497375,65.83180250000001,1.9348534750000002
